"Student","respondent","gender","age","education","area","mileage","power","design","comfort","entertainment","environment"
4609875,1,1,70,4,4,5,2,7,7,4,5
4609875,2,2,66,4,2,1,1,7,3,3,6
4609875,3,2,54,2,3,2,7,2,2,1,7
4609875,4,1,24,4,4,5,2,7,4,2,2
4609875,5,1,40,1,3,6,7,3,2,7,5
4609875,6,1,45,2,1,5,3,7,5,3,7
4609875,7,2,69,2,4,7,3,5,7,4,1
4609875,8,2,41,1,2,2,7,7,6,6,2
4609875,9,1,22,1,4,5,1,5,5,5,2
4609875,10,2,38,1,2,1,5,5,3,1,5
4609875,11,2,30,2,1,1,7,7,5,1,2
4609875,12,1,31,2,4,5,3,6,7,1,2
4609875,13,1,67,3,2,1,7,2,7,1,1
4609875,14,1,74,2,2,4,7,4,6,2,7
4609875,15,2,64,4,3,1,3,2,6,5,6
4609875,16,1,22,2,4,6,4,6,7,7,6
4609875,17,2,51,5,3,2,4,1,7,4,7
4609875,18,2,43,1,4,3,5,1,6,4,5
4609875,19,2,47,4,4,7,1,4,6,7,3
4609875,20,1,52,4,1,4,2,4,5,2,3
4609875,21,1,75,1,3,7,5,1,5,7,7
4609875,22,2,73,2,3,1,3,1,6,1,6
4609875,23,2,31,2,2,6,6,3,1,2,7
4609875,24,2,40,2,4,5,6,1,3,3,4
4609875,25,2,51,5,2,6,6,7,6,6,3
4609875,26,2,38,4,3,5,3,5,6,1,1
4609875,27,2,65,2,1,6,7,4,6,6,4
4609875,28,1,74,1,2,2,4,7,6,7,4
4609875,29,2,33,3,4,3,7,5,4,5,6
4609875,30,1,47,1,3,5,6,7,7,7,6
4609875,31,1,65,4,1,2,5,2,4,2,5
4609875,32,2,50,3,4,6,4,2,2,6,4
4609875,33,1,38,5,3,3,5,4,2,6,3
4609875,34,2,67,2,2,5,7,2,2,1,4
4609875,35,1,70,4,4,3,2,7,2,2,3
4609875,36,1,75,4,4,6,2,4,3,3,6
4609875,37,1,44,5,1,7,6,4,1,3,5
4609875,38,1,29,3,3,3,5,3,7,5,4
